Kurs Beli Rata-rata Pred,Kurs Jual Rata-rata Pred,Tanggal
16.155991997078686,16.392015088728627,2025-06-15 22:44:19
16.15599157312464,16.39201770185245,2025-06-16 22:44:19
16.155991716476144,16.392019608492696,2025-06-17 22:44:19
16.155991103013555,16.39202148169692,2025-06-18 22:44:19
16.155990102077695,16.392023371029104,2025-06-19 22:44:19
16.155988948686563,16.392025296550873,2025-06-20 22:44:19
16.15598779299603,16.392027258655588,2025-06-21 22:44:19
